componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (60 g),codigo_alimento,nome_alimento
Energia,kJ,796,477,BRC0003M,Nome não encontrado
Energia,kcal,189,113,BRC0003M,Nome não encontrado
Umidade,g,"58,8","35,3",BRC0003M,Nome não encontrado
Carboidrato total,g,"30,1","18,0",BRC0003M,Nome não encontrado
Carboidrato disponível,g,"29,7","17,8",BRC0003M,Nome não encontrado
Proteína,g,"4,14","2,48",BRC0003M,Nome não encontrado
Lipídios,g,"5,91","3,55",BRC0003M,Nome não encontrado
Fibra alimentar,g,"0,40","0,24",BRC0003M,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0003M,Nome não encontrado
Cinzas,g,"1,09","0,65",BRC0003M,Nome não encontrado
Colesterol,mg,"13,0","7,80",BRC0003M,Nome não encontrado
Ácidos graxos saturados,g,"3,59","2,16",BRC0003M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,05","0,63",BRC0003M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,22","0,13",BRC0003M,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,15",BRC0003M,Nome não encontrado
Cálcio,mg,139,"83,4",BRC0003M,Nome não encontrado
Ferro,mg,"0,83","0,50",BRC0003M,Nome não encontrado
Sódio,mg,"94,0","56,4",BRC0003M,Nome não encontrado
Magnésio,mg,"19,0","11,4",BRC0003M,Nome não encontrado
Fósforo,mg,128,"76,8",BRC0003M,Nome não encontrado
Potássio,mg,246,147,BRC0003M,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0003M,Nome não encontrado
Zinco,mg,"0,56","0,34",BRC0003M,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0003M,Nome não encontrado
Selênio,mcg,,,BRC0003M,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0003M,Nome não encontrado
Vitamina A (RAE),mcg,"81,0","48,6",BRC0003M,Nome não encontrado
Vitamina D,mcg,,,BRC0003M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,19","0,11",BRC0003M,Nome não encontrado
Tiamina,mg,"0,04","0,03",BRC0003M,Nome não encontrado
Riboflavina,mg,"0,23","0,14",BRC0003M,Nome não encontrado
Niacina,mg,"0,15","0,09",BRC0003M,Nome não encontrado
Vitamina B6,mg,"0,05","0,03",BRC0003M,Nome não encontrado
Vitamina B12,mcg,"0,55","0,33",BRC0003M,Nome não encontrado
Vitamina C,mg,,,BRC0003M,Nome não encontrado
Equivalente de folato,mcg,,,BRC0003M,Nome não encontrado
Sal de adição,g,,,BRC0003M,Nome não encontrado
Açúcar de adição,g,,,BRC0003M,Nome não encontrado
Gordura de adição,g,,,BRC0003M,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0003M,Nome não encontrado
Proteína animal,g,"4,14","2,48",BRC0003M,Nome não encontrado
