componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1959,293,BRC0037U,Nome não encontrado
Energia,kcal,473,70,BRC0037U,Nome não encontrado
Umidade,g,241,"36,2",BRC0037U,Nome não encontrado
Carboidrato total,g,"29,1","4,36",BRC0037U,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0037U,Nome não encontrado
Proteína,g,"38,3","5,74",BRC0037U,Nome não encontrado
Lipídios,g,"29,1","4,36",BRC0037U,Nome não encontrado
Fibra alimentar,g,"29,1","4,36",BRC0037U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0037U,Nome não encontrado
Cinzas,g,"3,24","0,49",BRC0037U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0037U,Nome não encontrado
Ácidos graxos saturados,g,"3,89","0,58",BRC0037U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"14,1","2,11",BRC0037U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"33,5","5,02",BRC0037U,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,02",BRC0037U,Nome não encontrado
Cálcio,mg,233,"35,1",BRC0037U,Nome não encontrado
Ferro,mg,"5,87","0,88",BRC0037U,Nome não encontrado
Sódio,mg,"37,6","5,64",BRC0037U,Nome não encontrado
Magnésio,mg,377,"56,7",BRC0037U,Nome não encontrado
Fósforo,mg,564,"84,7",BRC0037U,Nome não encontrado
Potássio,mg,805,120,BRC0037U,Nome não encontrado
Manganês,mg,"2,44","0,37",BRC0037U,Nome não encontrado
Zinco,mg,"4,82","0,72",BRC0037U,Nome não encontrado
Cobre,mg,"1,36","0,20",BRC0037U,Nome não encontrado
Selênio,mcg,138,"20,7",BRC0037U,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0037U,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0037U,Nome não encontrado
Vitamina D,mcg,,,BRC0037U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0037U,Nome não encontrado
Tiamina,mg,"0,55","0,08",BRC0037U,Nome não encontrado
Riboflavina,mg,,,BRC0037U,Nome não encontrado
Niacina,mg,"3,82","0,57",BRC0037U,Nome não encontrado
Vitamina B6,mg,"0,40","0,06",BRC0037U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0037U,Nome não encontrado
Vitamina C,mg,,,BRC0037U,Nome não encontrado
Equivalente de folato,mcg,"41,7","6,25",BRC0037U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0037U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0037U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0037U,Nome não encontrado
Proteína vegetal,g,"24,1","3,62",BRC0037U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0037U,Nome não encontrado
