codigo;alimento_pt;kcal;carboidratos;proteina;gordura;fibras;calcio;ferro
Código:;BRC0001C;76;5,84;1,15;6,21;1,04;174;0,15
Código:;BRC0195C;136;33,3;0,60;0,26;0,08;137;1,62
Código:;BRC0300C;148;21,3;1,69;6,43;0,26;161;1,25
Código:;BRC0054C;33;7,80;0,47;0,11;0,04;106;1,02
Código:;BRC0264C;279;64,9;3,80;1,86;0,57;767;8,30
Código:;BRC0218C;51;12,0;0,70;0,34;0,10;125;1,57
Código:;BRC0002C;50;11,6;0,68;0,33;0,10;137;1,49
Código:;BRC0069C;66;14,9;0,83;0,70;0,10;128;0,08
Código:;BRC0680B;48;8,22;1,51;1,61;0,83;170;0,33
Código:;BRC0059B;50;10,8;1,44;0,73;0,20;199;0,26
Código:;BRC0002B;41;8,36;1,75;0,54;0,05;350;0,11
Código:;BRC0003B;13;3,34;0,61;tr;tr;164;0,01
Código:;BRC0151B;30;5,98;0,39;0,80;0,45;183;0,02
Código:;BRC0101B;30;5,98;0,39;0,80;0,45;183;0,02
Código:;BRC0270B;32;4,78;1,38;1,33;0,73;133;0,09
Código:;BRC0269B;33;5,00;1,42;1,34;0,73;134;0,13
Código:;BRC0355B;26;5,92;1,80;0,21;0,02;201;0,02
Código:;BRC0354B;26;5,93;1,81;0,21;0,02;202;0,02
Código:;BRC0226B;38;3,89;1,18;2,52;1,44;66,2;0,01
Código:;BRC0225B;38;3,90;1,19;2,53;1,45;66,4;0,01
Código:;BRC0166B;17;3,98;1,21;0,14;0,01;67,9;0,01
Código:;BRC0165B;17;3,99;1,22;0,14;0,01;68,1;0,01
Código:;BRC0004B;16;3,66;1,12;0,13;0,01;124;0,01
Código:;BRC0064B;30;7,87;0,64;0,14;0,06;212;0,11
Código:;BRC0228B;26;6,65;0,73;0,13;0,01;143;0,07
Código:;BRC0227B;26;6,67;0,73;0,13;0,01;143;0,07
Código:;BRC0005B;24;6,12;0,67;0,12;0,01;263;0,07
Código:;BRC0001B;22;5,03;1,05;0,18;0,02;225;0,05
Código:;BRC0725B;88;4,36;8,74;4,26;1,30;336;0,09
Código:;BRC0266B;131;12,4;3,78;7,80;4,12;308;0,26
Código:;BRC0265B;131;12,4;3,78;7,80;4,12;308;0,26
Código:;BRC0232B;35;2,75;0,96;2,61;1,54;116;0,10
Código:;BRC0231B;35;2,76;0,96;2,61;1,55;116;0,10
Código:;BRC0152B;14;2,82;0,99;0,23;0,12;119;0,10
Código:;BRC0040B;14;2,82;0,99;0,23;0,12;119;0,10
Código:;BRC0006B;17;3,71;1,01;0,12;0,03;224;0,08
Código:;BRC0264B;27;5,76;1,56;0,19;0,05;348;0,13
Código:;BRC0263B;27;5,79;1,58;0,19;0,05;349;0,12
Código:;BRC0153B;26;4,19;1,07;0,82;0,46;193;0,14
Código:;BRC0104B;26;4,19;1,07;0,82;0,46;193;0,14
Código:;BRC0291C;57;13,5;0,30;1,00;0,17;31,8;0,02
Código:;BRC0800B;352;65,4;11,4;5,85;2,07;1724;28,4
Código:;BRC0003C;68;7,66;0,90;5,01;0,32;110;7,57
Código:;BRC0185C;57;5,62;0,78;4,58;0,34;128;6,15
Código:;BRC0201C;101;18,9;0,75;2,89;0,23;129;2,51
Código:;BRC0177C;177;29,6;2,71;5,94;1,27;133;2,81
Código:;BRC0095C;118;21,5;0,72;3,66;0,30;75,5;3,29
Código:;BRC0203T;270;19,0;8,31;19,8;2,09;352;0,59
Código:;BRC0061T;270;19,1;8,35;19,9;2,10;353;0,60
Código:;BRC0212B;22;4,07;1,47;0,11;0,04;122;0,10
Código:;BRC0211B;22;4,39;1,47;0,11;0,04;122;0,10
Código:;BRC0007B;23;4,63;1,44;0,11;0,04;239;0,11
Código:;BRC0202B;35;4,73;1,60;1,32;0,76;255;0,12
Código:;BRC0201B;36;5,05;1,60;1,32;0,76;255;0,12
Código:;BRC0004C;30;6,89;0,71;0,38;0,11;138;0,05
Código:;BRC0129K;373;93,3;0,00;0,00;0,00;0,00;NA
Código:;BRC0001K;387;91,6;4,07;2,36;0,40;498;0,55
Código:;BRC0002K;390;88,2;5,00;3,00;0,42;492;0,55
Código:;BRC0003K;398;93,3;3,00;1,92;0,27;499;0,55
Código:;BRC0101N;362;71,9;15,5;3,00;0,09;2702;NA
Código:;BRC0004K;395;98,3;0,35;0,02;0,00;176;2,03
Código:;BRC0005K;400;99,6;0,32;tr;0,00;2,56;tr
Código:;BRC0704N;80;19,9;0,03;tr;0,00;55,2;tr
Código:;BRC0703N;198;49,4;0,08;tr;0,00;88,0;tr
Código:;BRC0006K;382;94,5;0,76;0,09;0,00;521;2,03
Código:;BRC0007K;397;99,0;0,16;tr;0,00;6,35;tr
Código:;BRC0090N;245;59,0;2,17;0,00;0,00;4,00;0,00
Código:;BRC0042N;0;0,00;0,00;0,00;0,00;4,00;0,00
Código:;BRC0056N;365;91,2;0,00;0,00;0,00;4,00;0,00
Código:;BRC0220B;47;2,88;3,54;2,89;1,61;136;0,24
Código:;BRC0219B;47;2,89;3,55;2,89;1,61;137;0,24
Código:;BRC0914B;26;2,95;3,63;0,52;0,18;140;0,25
Código:;BRC0162B;27;2,97;3,65;0,52;0,18;140;0,25
Código:;BRC0008B;23;2,58;3,17;0,45;0,16;244;0,24
Código:;BRC0170H;0;0,00;0,00;0,00;0,00;0,00;0,00
Código:;BRC0214B;19;4,38;0,83;0,08;0,04;150;0,18
Código:;BRC0213B;21;4,70;0,84;0,08;0,03;135;0,18
Código:;BRC0065B;19;4,27;0,76;0,07;0,03;273;0,18
Código:;BRC0216B;42;7,05;1,33;1,32;0,77;439;0,29
Código:;BRC0215B;43;7,37;1,33;1,32;0,77;439;0,29
Código:;BRC1128B;80;11,3;3,47;3,65;0,46;390;0,30
Código:;BRC1127B;50;11,6;3,59;0,16;0,07;405;0,28
Código:;BRC0915B;51;11,9;2,88;0,34;0,15;285;0,23
Código:;BRC0460B;51;12,0;2,89;0,34;0,15;286;0,13
Código:;BRC1117B;46;10,6;3,27;0,15;0,06;370;0,26
Código:;BRC0703B;37;4,89;2,36;0,86;0,30;40,0;0,08
Código:;BRC0824B;328;64,1;4,88;15,2;2,34;955;1,87
Código:;BRC0226K;153;20,9;3,42;5,94;0,39;116;0,38
Código:;BRC0063B;6;1,50;0,41;0,11;0,06;110;0,10
Código:;BRC0060B;10;1,70;1,35;0,16;0,09;267;0,20
Código:;BRC0009B;9;1,79;1,08;0,12;0,08;311;0,36
Código:;BRC0061B;13;2,43;1,70;0,12;0,07;348;0,33
Código:;BRC0062B;11;2,49;0,91;0,19;0,06;308;0,12
Código:;BRC0067B;28;5,24;2,66;0,48;0,32;260;0,15
Código:;BRC1061B;336;80,9;6,21;0,30;0,10;1125;4,30
Código:;BRC0222K;402;99,7;0,00;0,32;0,00;2,00;0,00
Código:;BRC0115B;134;28,4;6,27;0,22;0,11;268;0,24
Código:;BRC0010B;121;25,8;5,70;0,20;0,10;541;0,24
Código:;BRC1074B;346;72,7;16,6;0,73;0,18;1193;0,98
Código:;BRC0113B;433;36,6;8,09;29,3;17,5;768;0,34
